artist,album,year,placement,genre,region,theme_label,description,critical_context
Annie-Claude Deschênes,LES MANIÈRES DE TABLE,2024,longlist,Experimental,Quebec,Experimental & Abstract,French-language experimental music,Avant-garde French experimental compositions
Devours,Homecoming Queen,2024,longlist,Alternative Rock,Ontario,Love & Relationships,Alternative rock with personal themes,Rock exploring personal relationships and nostalgia
Ducks Ltd.,Harm's Way,2024,longlist,Indie Rock,Ontario,Love & Relationships,Indie rock with jangly guitars,Indie rock exploring romantic themes
Karkwa,Dans la seconde,2024,longlist,Indie Rock,Quebec,Place & Landscape,Quebec indie rock past Polaris winner,Distinctly Quebec indie rock with regional identity
KAYTRAMINÉ,KAYTRAMINÉ,2024,longlist,Hip-Hop/Electronic,Quebec,Experimental & Abstract,Hip-hop collaboration featuring Kaytranada,Innovative hip-hop electronic collaboration
KEN mode,Void,2024,longlist,Noise Rock,Manitoba,Social Commentary,Noise rock/hardcore punk,Aggressive punk addressing social alienation
La Force,XO Skeleton,2024,longlist,Indie Pop,Quebec,Introspection & Philosophy,Indie pop with ethereal vocals,Dreamy indie pop with introspective themes
La Sécurité,Stay Safe!,2024,longlist,Post-Punk,Quebec,Social Commentary,Post-punk with French lyrics,Political post-punk addressing social issues
Sean Leon,IN LOVING MEMORY,2024,longlist,Hip-Hop,Ontario,Introspection & Philosophy,Hip-hop exploring grief and memory,Personal hip-hop about loss and remembrance
LOONY,LOONY,2024,longlist,R&B,Ontario,Love & Relationships,R&B with personal storytelling,Contemporary R&B exploring personal relationships
Jon McKiel,Hex,2024,longlist,Indie Folk,Nova Scotia,Introspection & Philosophy,Indie folk with mystical themes,Maritime indie folk with spiritual elements
myst milano.,Beyond the Uncanny Valley,2024,longlist,Electronic/Hip-Hop,Quebec,Experimental & Abstract,Electronic/hip-hop with futuristic themes,Futuristic electronic hip-hop fusion
NYSSA,Shake Me Where I'm Foolish,2024,longlist,Indie Pop,Ontario,Introspection & Philosophy,Indie pop with vulnerable lyrics,Vulnerable indie pop about self-doubt
Pelada,Ahora Más Que Nunca,2024,longlist,Electronic,Quebec,Experimental & Abstract,Electronic dance music,Experimental electronic dance
PETER PETER,Éther,2024,longlist,Experimental,Quebec,Experimental & Abstract,French-language experimental music,French experimental electronic compositions
Arielle Soucy,Il n'y a rien que je ne suis pas,2024,longlist,Indie Folk,Quebec,Introspection & Philosophy,French-language indie folk,Philosophical French indie folk
Super Duty Tough Work,Paradigm Shift,2024,longlist,Experimental Rock,Ontario,Experimental & Abstract,Experimental rock,Avant-garde rock experimentation
TALK,Lord of the Flies & Birds & Bees,2024,longlist,Indie Rock,Ontario,Social Commentary,Indie rock with literary themes,Literary indie rock addressing social themes
Tomb Mold,The Enduring Spirit,2024,longlist,Death Metal,Ontario,Introspection & Philosophy,Death metal with philosophical themes,Heavy metal exploring existential themes
Debby Friday,Good Luck,2023,winner,Electronic/Experimental,Ontario,Introspection & Philosophy,Electronic/experimental music exploring identity and anxiety,Raw exploration of mental health and identity
Aysanabee,Watin,2023,longlist,Indigenous Folk,Ontario,Identity & Heritage,Indigenous folk exploring cultural identity,Ojibwe artist exploring Indigenous identity
Ghostkeeper,Multidimensional Culture,2023,longlist,Indigenous Folk,Alberta,Identity & Heritage,Indigenous experimental folk,Indigenous perspectives on contemporary culture
Zoon,Bekka Ma'iingan,2023,longlist,Indigenous Rock,Ontario,Identity & Heritage,Indigenous shoegaze exploring cultural themes,Ojibwe shoegaze examining cultural identity
Snotty Nose Rez Kids,I'm Good HBU?,2023,longlist,Indigenous Hip-Hop,British Columbia,Social Commentary,Indigenous hip-hop with social and political themes,Indigenous activism through hip-hop
Home Front,Games of Power,2023,longlist,Punk Rock,Ontario,Social Commentary,Punk rock with political themes,Political punk addressing power structures
Aquakultre,Don't Trip,2023,longlist,Hip-Hop,Nova Scotia,Social Commentary,Hip-hop with social consciousness,Maritime hip-hop with social awareness
Daniel Caesar,NEVER ENOUGH,2023,longlist,R&B,Ontario,Love & Relationships,R&B exploring love and desire,Intimate R&B about romantic relationships
Jessie Reyez,Yessie,2023,longlist,R&B/Pop,Ontario,Love & Relationships,R&B/pop exploring personal relationships,Personal storytelling through R&B
Philippe Brach,Les gens qu'on aime,2023,longlist,Folk,Quebec,Love & Relationships,French-language folk about relationships,Quebec folk exploring human connections
Feist,Multitudes,2023,longlist,Indie Folk,Ontario,Introspection & Philosophy,Indie folk exploring personal complexity,Mature reflection on life's contradictions
Andy Shauf,Norm,2023,longlist,Indie Folk,Saskatchewan,Introspection & Philosophy,Indie folk with introspective storytelling,Character studies and personal reflection
Begonia,Powder Blue,2023,longlist,Folk-Pop,Manitoba,Introspection & Philosophy,Folk-pop with emotional depth,Vulnerable songwriting about mental health
Alvvays,Blue Rev,2023,longlist,Dream Pop,Ontario,Place & Landscape,Dream pop with nostalgic themes,Maritime-influenced dream pop
Dan Mangan,Being Somewhere,2023,longlist,Indie Folk,British Columbia,Place & Landscape,Indie folk about place and belonging,Reflections on place and geography
BIG|BRAVE,nature morte,2023,longlist,Experimental,Quebec,Experimental & Abstract,Experimental drone/metal,Avant-garde approach to heavy music
Yoo Doo Right,A Murmur Boundless to the East,2023,longlist,Experimental Rock,Quebec,Experimental & Abstract,Experimental rock with psychedelic elements,Psychedelic experimentation
ALL HANDS_MAKE LIGHT,Darling the Dawn,2023,longlist,Indie Folk,Ontario,Love & Relationships,Indie folk with poetic lyrics,Poetic indie folk about relationships
Badge Époque Ensemble,Clouds of Joy,2023,longlist,Jazz-Fusion,Ontario,Experimental & Abstract,Instrumental jazz-fusion,Experimental jazz fusion
Bibi Club,Le soleil et la mer,2023,longlist,Indie Pop,Quebec,Love & Relationships,French-language indie pop,French indie pop with romantic themes
Mariel Buckley,Everywhere I Used To Be,2023,longlist,Country/Folk,Alberta,Place & Landscape,Country/folk exploring place and memory,Country music about geographical identity
Chiiild,Better Luck in the Next Life,2023,longlist,R&B/Soul,Quebec,Introspection & Philosophy,R&B/soul with spiritual themes,Spiritual R&B exploring consciousness
Gayance,Mascarade,2023,longlist,Electronic,Quebec,Identity & Heritage,Electronic music exploring identity,Electronic music about cultural identity
JayWood,Slingshot,2023,longlist,Indie Pop,Ontario,Love & Relationships,Indie pop with playful arrangements,Playful indie pop about relationships
Khotin,Release Spirit,2023,longlist,Ambient Electronic,British Columbia,Experimental & Abstract,Ambient electronic music,Atmospheric electronic soundscapes
Thierry Larose,Sprint!,2023,longlist,Indie Rock,Quebec,Place & Landscape,French-language indie rock,Quebec indie rock with regional themes
Murray Lightburn,Once Upon a Time in Montreal,2023,longlist,Indie Rock,Quebec,Place & Landscape,Montreal indie rock with storytelling,Montreal-focused indie rock storytelling
Isabella Lovestory,Amor Hardcore,2023,longlist,Reggaeton/Pop,Quebec,Love & Relationships,Bilingual reggaeton and pop fusion,Bilingual pop about love and desire
N NAO,L'eau et les rêves,2023,longlist,Electronic,Quebec,Introspection & Philosophy,French-language electronic music,Dreamlike French electronic music
Tami Neilson,Kingmaker,2023,longlist,Country,Ontario,Social Commentary,Country music with empowering themes,Empowering country music with feminist themes
Eliza Niemi,Staying Mellow Blows,2023,longlist,Indie Folk,Ontario,Introspection & Philosophy,Experimental indie folk,Experimental folk exploring mental states
Nico Paulo,Nico Paulo,2023,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships
Planet Giza,Ready When You Are,2023,longlist,Hip-Hop,Ontario,Love & Relationships,Hip-hop with melodic elements,Melodic hip-hop about relationships
poolblood,mole,2023,longlist,Indie Rock,Ontario,Introspection & Philosophy,Lo-fi indie rock with introspective lyrics,Lo-fi indie exploring personal themes
The Sadies,Colder Streams,2023,longlist,Country Rock,Ontario,Place & Landscape,Canadian country rock traditions,Traditional Canadian country rock
Jairus Sharif,Water & Tools,2023,longlist,Hip-Hop,Ontario,Social Commentary,Conscious hip-hop,Socially conscious hip-hop
Dylan Sinclair,No Longer in the Suburbs,2023,longlist,R&B,Ontario,Introspection & Philosophy,Contemporary R&B about growing up,R&B exploring personal growth
Alexandra Stréliski,Néo-Romance,2023,longlist,Neoclassical,Quebec,Love & Relationships,Minimalist piano compositions,Romantic neoclassical piano music
U.S. Girls,Bless This Mess,2023,longlist,Art Pop,Ontario,Social Commentary,Art pop with social commentary,Feminist art pop addressing social issues
Witch Prophet,Gateway Experience,2023,longlist,Hip-Hop/Soul,Ontario,Introspection & Philosophy,Spiritual hip-hop and soul,Metaphysical hip-hop exploring spirituality
AHI,Prospect,2022,longlist,Folk,Ontario,Identity & Heritage,Indigenous folk music,Indigenous artist exploring cultural themes
Arcade Fire,WE,2022,longlist,Indie Rock,Quebec,Social Commentary,Indie rock exploring collective identity,Political indie rock about society and community
Pierre Kwenders,José Louis And The Paradox Of Love,2022,winner,Afrobeat/Electronic,Quebec,Identity & Heritage,Afrobeat and electronic fusion,Congolese-Canadian artist exploring cultural identity
Backxwash,I LIE HERE BURIED WITH MY RINGS AND MY DRESSES,2022,longlist,Hip-Hop,Quebec,Social Commentary,Continued exploration of trans identity,Trans hip-hop addressing identity and society
BADBADNOTGOOD,Talk Memory,2022,longlist,Jazz,Ontario,Experimental & Abstract,Contemporary jazz with hip-hop influences,Innovative jazz fusion
Jean-Michel Blais,aubades,2022,longlist,Neoclassical,Quebec,Introspection & Philosophy,Minimalist piano compositions,Contemplative neoclassical piano
Basia Bulat,The Garden,2022,longlist,Folk-Pop,Ontario,Love & Relationships,Folk-pop with orchestral arrangements,Folk-pop exploring personal relationships
Tanika Charles,Papillon de Nuit: The Night Butterfly,2022,longlist,Soul/R&B,Ontario,Love & Relationships,Soul and R&B with vintage influences,Romantic soul and R&B
Chiiild,Hope For Sale,2022,longlist,R&B,Quebec,Social Commentary,Contemporary R&B,R&B with social awareness themes
Destroyer,LABYRINTHITIS,2022,longlist,Indie Rock,British Columbia,Introspection & Philosophy,Art rock with complex arrangements,Complex art rock exploring philosophical themes
Julie Doiron,I Thought Of You,2022,longlist,Indie Folk,New Brunswick,Love & Relationships,Intimate indie folk,Personal indie folk about relationships
The Garrys,Get Thee To A Nunnery,2022,longlist,Surf Rock,Saskatchewan,Experimental & Abstract,Surf rock with harmonies,Unique approach to surf rock
The Halluci Nation,One More Saturday Night,2022,longlist,Electronic,Ontario,Identity & Heritage,Indigenous electronic music,Indigenous electronic music collective
Joyful Joyful,Joyful Joyful,2022,longlist,Gospel/Soul,Ontario,Introspection & Philosophy,Gospel-influenced soul music,Spiritual gospel-influenced music
Adria Kain,When Flowers Bloom,2022,longlist,Folk,Ontario,Love & Relationships,Contemporary folk,Folk music about growth and relationships
Lydia Képinski,Depuis,2022,longlist,Folk,Quebec,Love & Relationships,French-language folk,French folk exploring romantic themes
Ada Lea,one hand on the steering wheel the other sewing a garden,2022,longlist,Indie Folk,Quebec,Introspection & Philosophy,Indie folk with poetic lyrics,Poetic indie folk with introspective themes
Lisa Leblanc,Chiac Disco,2022,longlist,Folk/Rock,New Brunswick,Identity & Heritage,Acadian folk rock,Acadian cultural identity through folk rock
Hubert Lenoir,PICTURA DE IPSE : Musique directe,2022,longlist,Art Pop,Quebec,Experimental & Abstract,Experimental art pop,Avant-garde Quebec art pop
Luna Li,Duality,2022,longlist,Indie Pop,Ontario,Introspection & Philosophy,Dreamy indie pop,Introspective indie pop exploring duality
Les Louanges,Crash,2022,longlist,Indie Pop,Quebec,Love & Relationships,French-language indie pop,French indie pop about relationships
LOONY,soft thing,2022,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Personal R&B about relationships
Kelly McMichael,Waves,2022,longlist,Folk,Ontario,Place & Landscape,Contemporary folk,Folk music with natural imagery
Men I Trust,Untourable Album,2022,longlist,Indie Pop,Quebec,Love & Relationships,Dreamy indie pop,Romantic dreamy indie pop
Haviah Mighty,Stock Exchange,2022,longlist,Hip-Hop,Ontario,Social Commentary,Conscious hip-hop,Socially conscious hip-hop
myst milano.,Shapeshyfter,2022,longlist,Electronic/Hip-Hop,Quebec,Experimental & Abstract,Electronic hip-hop fusion,Innovative electronic hip-hop
Cedric Noel,Hang Time,2022,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships
Ombiigizi,Sewn Back Together,2022,longlist,Indigenous Folk,Ontario,Identity & Heritage,Indigenous folk duo,Indigenous folk exploring cultural connection
Orville Peck,Bronco,2022,longlist,Country,Alberta,Identity & Heritage,Alternative country with masked persona,Queer country exploring identity
Ouri,Frame of a Fauna,2022,longlist,Electronic,Quebec,Experimental & Abstract,Experimental electronic music,Avant-garde electronic compositions
P'tit Belliveau,Un homme et son piano,2022,longlist,Folk,Nova Scotia,Identity & Heritage,Acadian folk music,Acadian cultural identity
PUP,THE UNRAVELING OF PUPTHEBAND,2022,longlist,Punk Rock,Ontario,Introspection & Philosophy,Pop-punk with emotional themes,Emotional pop-punk about mental health
SATE,The Fool,2022,longlist,Rock,Ontario,Social Commentary,Rock with powerful vocals,Empowering rock with social themes
Shad,TAO,2022,longlist,Hip-Hop,Ontario,Introspection & Philosophy,Conscious hip-hop,Philosophical conscious hip-hop
Sister Ray,Communion,2022,longlist,Post-Punk,Quebec,Experimental & Abstract,Post-punk revival,Experimental post-punk
Snotty Nose Rez Kids,Life After,2022,longlist,Indigenous Hip-Hop,British Columbia,Social Commentary,Indigenous hip-hop,Indigenous hip-hop activism
Stars,From Capelton Hill,2022,longlist,Indie Rock,Quebec,Place & Landscape,Montreal indie rock,Montreal indie rock with regional themes
Tanya Tagaq,Tongues,2022,longlist,Experimental,Nunavut,Identity & Heritage,Inuit throat singing,Traditional Inuit throat singing
The Weeknd,Dawn FM,2022,longlist,R&B/Pop,Ontario,Love & Relationships,Conceptual R&B album,Cinematic R&B exploring relationships
Charlotte Day Wilson,ALPHA,2022,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships
Art Bergmann,Late Stage Empire Dementia,2021,longlist,Punk Rock,British Columbia,Social Commentary,Punk rock with political themes,Political punk addressing capitalism
Bernice,Eau De Bonjourno,2021,longlist,Art Pop,Ontario,Experimental & Abstract,Experimental art pop,Avant-garde art pop
The Besnard Lakes,The Besnard Lakes Are the Last of the Great Thunderstorm Warnings,2021,longlist,Indie Rock,Quebec,Place & Landscape,Psychedelic indie rock,Psychedelic rock with environmental themes
Leanne Betasamosake Simpson,Theory of Ice,2021,longlist,Indigenous Folk,Ontario,Identity & Heritage,Indigenous storytelling and music,Indigenous knowledge through music
Big Brave,Vital,2021,longlist,Experimental,Quebec,Experimental & Abstract,Experimental drone metal,Experimental heavy music
Cadence Weapon,Parallel World,2021,winner,Hip-Hop,Alberta,Social Commentary,Political hip-hop,Political rap addressing social issues
Charlotte Cardin,Phoenix,2021,longlist,Pop,Quebec,Love & Relationships,Bilingual pop music,Bilingual pop about relationships
CFCF,memoryland,2021,longlist,Electronic,Quebec,Experimental & Abstract,Ambient electronic music,Atmospheric electronic soundscapes
Clairmont The Second,It's Not How It Sounds,2021,longlist,Hip-Hop,Ontario,Social Commentary,Contemporary hip-hop,Hip-hop with social consciousness
Helena Deland,Someone New,2021,longlist,Indie Pop,Quebec,Love & Relationships,Dreamy indie pop,Indie pop about relationships and identity
DijahSB,Head Above the Waters,2021,longlist,Hip-Hop,Ontario,Social Commentary,Conscious hip-hop,Socially conscious hip-hop
Kathleen Edwards,Total Freedom,2021,longlist,Alt-Country,Ontario,Introspection & Philosophy,Alternative country,Personal alt-country about freedom
Dominique Fils-Aimé,Three Little Words,2021,longlist,Jazz/Soul,Quebec,Love & Relationships,Contemporary jazz and soul,Jazz and soul exploring love
Fiver with the Atlantic School of Spontaneous Composition,Fiver with the Atlantic School of Spontaneous Composition,2021,longlist,Experimental,Nova Scotia,Experimental & Abstract,Collaborative experimental music,Maritime experimental collaboration
Thanya Iyer,KIND,2021,longlist,R&B/Soul,Ontario,Introspection & Philosophy,Contemporary R&B and soul,Spiritual R&B exploring kindness
Yves Jarvis,Sundry Rock Song Stock,2021,longlist,Experimental,Quebec,Experimental & Abstract,Experimental indie rock,Avant-garde indie rock
Rochelle Jordan,Play with the Changes,2021,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships
LAL,Meteors Could Come Down,2021,longlist,Electronic,Ontario,Social Commentary,Electronic music with social themes,Electronic music addressing social issues
Daniel Lanois,Heavy Sun,2021,longlist,Folk/Rock,Ontario,Place & Landscape,Atmospheric folk rock,Atmospheric folk rock with Canadian themes
Thierry Larose,Cantalou,2021,longlist,Folk,Quebec,Place & Landscape,French-language folk,Quebec folk with regional identity
Russell Louder,Humor,2021,longlist,Electronic,Prince Edward Island,Identity & Heritage,Electronic music with gender themes,Electronic music exploring gender identity
Elliot Maginot,Easy Morning,2021,longlist,Jazz,Ontario,Experimental & Abstract,Contemporary jazz,Contemporary jazz exploration
Mustafa,When Smoke Rises,2021,longlist,R&B/Folk,Ontario,Introspection & Philosophy,R&B and folk with spiritual themes,Spiritual R&B exploring healing
Laura Niquay,Waska Matisiwin,2021,longlist,Indigenous Folk,Quebec,Identity & Heritage,Indigenous folk in Atikamekw language,Atikamekw language folk music
NYSSA,Girls Like Me,2021,longlist,Indie Pop,Ontario,Identity & Heritage,Indie pop exploring identity,Indie pop about gender and identity
The OBGMs,The Ends,2021,longlist,Punk Rock,Ontario,Social Commentary,Punk rock with social commentary,Punk rock addressing social issues
Dorothea Paas,Anything Can't Happen,2021,longlist,Experimental Folk,Ontario,Experimental & Abstract,Experimental folk with unconventional structures,Avant-garde folk experimentation
Klô Pelgag,Notre-Dame-des-Sept-Douleurs,2021,longlist,Art Pop,Quebec,Place & Landscape,French-language art pop,Quebec art pop with regional themes
Savannah Ré,Opia,2021,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships
Allison Russell,Outside Child,2021,longlist,Folk/Soul,Quebec,Identity & Heritage,Folk and soul exploring personal history,Folk and soul about personal and family history
Julien Sagot,Sagot,2021,longlist,Folk,Quebec,Love & Relationships,French-language folk,French folk about relationships
Sargeant X Comrade,Magic Radio,2021,longlist,Electronic,Ontario,Social Commentary,Electronic music with political themes,Electronic music addressing political issues
Shabason Krgovich & Harris,Philadelphia,2021,longlist,Jazz,Ontario,Experimental & Abstract,Collaborative jazz project,Experimental jazz collaboration
Yu Su,Yellow River Blue,2021,longlist,Electronic,British Columbia,Place & Landscape,Ambient electronic music,Electronic music with geographical themes
Julian Taylor,The Ridge,2021,longlist,Folk/Rock,Ontario,Identity & Heritage,Indigenous folk rock,Indigenous folk rock
TEKE::TEKE,Shirushi,2021,longlist,Experimental Rock,Quebec,Experimental & Abstract,Japanese-influenced experimental rock,Japanese-influenced experimental music
TOBi,Elements Vol. 1,2021,longlist,Hip-Hop/R&B,Ontario,Introspection & Philosophy,Hip-hop and R&B fusion,Personal hip-hop and R&B
Vagina Witchcraft,Vagina Witchcraft,2021,longlist,Experimental,Ontario,Social Commentary,Experimental feminist music,Feminist experimental music
The Weather Station,Ignorance,2021,longlist,Indie Folk,Ontario,Place & Landscape,Environmental themes in indie folk,Environmental indie folk
Zoon,Bleached Wavves,2021,longlist,Indigenous Rock,Ontario,Identity & Heritage,Indigenous shoegaze,Indigenous shoegaze exploring identity
Backxwash,God Has Nothing To Do With This Leave Him Out Of It,2020,winner,Hip-Hop/Electronic,Quebec,Social Commentary,Trans rapper exploring identity religion and social marginalization,Groundbreaking trans hip-hop addressing faith and identity
nêhiyawak,nipiy,2020,longlist,Indigenous Electronic,Alberta,Identity & Heritage,Indigenous electronic music exploring Cree culture and language,Cree language electronic music blending tradition and modernity
Pantayo,Pantayo,2020,longlist,World/Electronic,Ontario,Identity & Heritage,Filipino-Canadian electronic music exploring cultural identity,Innovative blend of traditional Filipino music and electronics
Lido Pimienta,Miss Colombia,2020,longlist,Latin/Electronic,Ontario,Identity & Heritage,Colombian-Canadian artist exploring Latin identity and displacement,Bold exploration of Colombian identity in Canadian context
WHOOP-Szo,Warrior Down,2020,longlist,Indigenous Rock,Ontario,Identity & Heritage,Indigenous punk rock exploring cultural identity and resistance,Indigenous punk addressing colonialism and resistance
U.S. Girls,Heavy Light,2020,longlist,Art Pop,Ontario,Social Commentary,Art pop addressing gender inequality and social issues,Feminist themes over sophisticated pop arrangements
Caribou,Suddenly,2020,longlist,Electronic,Ontario,Love & Relationships,Electronic music exploring family and domestic life,Personal electronic music about fatherhood and relationships
The Weeknd,After Hours,2020,longlist,R&B/Pop,Ontario,Love & Relationships,Dark R&B exploring heartbreak and relationships,Cinematic exploration of toxic relationships
Jessie Reyez,BEFORE LOVE CAME TO KILL US,2020,longlist,R&B/Pop,Ontario,Love & Relationships,R&B album about love heartbreak and relationships,Vulnerable exploration of romantic relationships
Men I Trust,Oncle Jazz,2020,longlist,Indie Pop,Quebec,Love & Relationships,Dreamy indie pop with romantic themes,Ethereal indie pop with French-Canadian charm
Daniel Caesar,CASE STUDY 01,2020,longlist,R&B,Ontario,Love & Relationships,R&B exploring love spirituality and relationships,Soulful R&B with gospel influences
Andy Shauf,The Neon Skyline,2020,longlist,Indie Folk,Saskatchewan,Introspection & Philosophy,Narrative indie folk exploring human behavior and observation,Character studies set in a Saskatchewan bar
Owen Pallett,Island,2020,longlist,Chamber Pop,Ontario,Introspection & Philosophy,Orchestral indie pop with personal and philosophical themes,Complex arrangements exploring personal transformation
Begonia,Fear,2020,longlist,Folk-Pop,Manitoba,Introspection & Philosophy,Folk-pop exploring anxiety mental health and fear,Vulnerable songwriting about mental health struggles
Witch Prophet,DNA Activation,2020,longlist,Hip-Hop/Soul,Ontario,Introspection & Philosophy,Spiritual hip-hop exploring consciousness and self-discovery,Metaphysical themes through hip-hop and soul
William Prince,Reliever,2020,longlist,Country/Folk,Manitoba,Introspection & Philosophy,Indigenous country/folk exploring personal healing and spirituality,Soulful country music with Indigenous perspective
Corridor,Junior,2020,longlist,Indie Rock,Quebec,Place & Landscape,Quebec indie rock with French lyrics,Distinctly Quebec indie rock sound and perspective
Sarah Harmer,Are You Gone,2020,longlist,Folk,Ontario,Place & Landscape,Folk music about environmental activism and place,Environmental themes and connection to Canadian landscape
Kaytranada,Bubba,2020,longlist,Electronic/Hip-Hop,Quebec,Experimental & Abstract,Electronic music with hip-hop and house influences,Innovative electronic production with R&B collaborations
Cindy Lee,What's Tonight To Eternity?,2020,longlist,Experimental Pop,Ontario,Experimental & Abstract,Lo-fi experimental pop exploring gender and identity,Boundary-pushing experimental pop with gender themes
Allie X,Cape God,2020,longlist,Pop,Ontario,Introspection & Philosophy,Dark pop exploring personal themes,Dark pop examining mental health and identity
Anachnid,Dreamweaver,2020,longlist,Electronic,Ontario,Identity & Heritage,Electronic music with Indigenous themes,Indigenous electronic artist exploring cultural themes
Aquakultre,Legacy,2020,longlist,Hip-Hop,Nova Scotia,Social Commentary,Maritime hip-hop,Hip-hop with social consciousness from Nova Scotia
Marie-Pierre Arthur,Des feux pour voir,2020,longlist,Folk,Quebec,Love & Relationships,French-language folk,French folk exploring romantic themes
Badge Époque Ensemble,Badge Époque Ensemble,2020,longlist,Jazz-Fusion,Ontario,Experimental & Abstract,Instrumental jazz fusion,Experimental jazz fusion
P'tit Belliveau,Greatest Hits Vol. 1,2020,longlist,Folk,Nova Scotia,Identity & Heritage,Acadian folk humor,Acadian cultural identity with humor
Chocolat,Jazz engagé,2020,longlist,Jazz,Quebec,Social Commentary,Socially conscious jazz,Jazz addressing social and political issues
Louis-Jean Cormier,Quand la nuit tombe,2020,longlist,Folk/Rock,Quebec,Love & Relationships,French-language folk rock,French folk rock about relationships
dvsn,A Muse In Her Feelings,2020,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B exploring relationships
Jacques Greene,Dawn Chorus,2020,longlist,Electronic,Quebec,Experimental & Abstract,House and electronic music,Electronic house music
Ice Cream,FED UP,2020,longlist,Punk Rock,Ontario,Social Commentary,Feminist punk rock,Feminist punk addressing social issues
Junia-T,Studio Monk,2020,longlist,Hip-Hop,Ontario,Social Commentary,Conscious hip-hop,Socially conscious hip-hop
Flore Laurentienne,Volume 1,2020,longlist,Folk,Quebec,Place & Landscape,Quebec experimental folk,Quebec folk with regional themes
OBUXUM,Re-Birth,2020,longlist,Hip-Hop/Soul,Ontario,Introspection & Philosophy,Spiritual hip-hop and soul,Spiritual hip-hop exploring consciousness
Joel Plaskett,44,2020,longlist,Folk/Rock,Nova Scotia,Place & Landscape,Maritime folk rock,Maritime folk rock with regional identity
Riit,ataataga,2020,longlist,Indigenous Pop,Nunavut,Identity & Heritage,Inuit pop music,Inuit pop exploring cultural identity
